Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	3.38	--	0	0	бРел
15:00:00	3.38	--	0	0	бРел
14:59:59	3.38	--	302	102076	бРел
14:59:56	3.38	--	408	137904	бРел
14:59:50	3.38	--	583	197054	бРел
14:59:47	3.38	--	375	126750	бРел
14:59:41	3.38	--	927	313326	бРел
14:59:35	3.38	--	100	33800	бРел
14:59:32	3.38	0.01	349	117962	бРел
14:59:26	3.37	-0.01	140	47180	бТел
14:59:20	3.38	--	189	63882	бРел
14:59:17	3.38	--	300	101400	бРел
14:59:11	3.38	--	260	87880	бРел
14:59:05	3.38	0.01	2839	959582	бРел
14:59:02	3.37	--	32	10784	бТел
14:58:56	3.37	-0.01	2049	690513	бТел
14:58:50	3.38	--	364	123032	бРел
14:58:47	3.38	--	21	7098	бРел
14:58:41	3.38	--	103	34814	бРел
14:58:35	3.38	0.01	810	273780	бРел
14:58:32	3.37	--	24	8088	бТел
14:58:26	3.37	-0.01	286	96382	бТел
14:58:20	3.38	--	166	56108	бРел
14:58:16	3.38	--	892	301496	бРел
14:58:11	3.38	0.01	163	55094	бРел
14:58:05	3.37	--	166	55942	бТел
14:58:01	3.37	-0.01	702	236574	бТел
14:57:56	3.38	0.01	337	113906	бРел
14:57:50	3.37	-0.01	79	26623	бТел
14:57:46	3.38	--	89	30082	бРел
14:57:41	3.38	--	390	131820	бРел
14:57:35	3.38	--	57	19266	бРел
14:57:31	3.38	0.01	7	2366	бРел
14:57:26	3.37	--	37	12469	бТел
14:57:20	3.37	--	54	18198	бТел
14:57:16	3.37	-0.01	500	168500	бТел
14:57:11	3.38	0.01	65	21970	бРел
14:57:05	3.37	-0.01	210	70770	бТел
14:57:01	3.38	0.01	155	52390	бРел
14:56:56	3.37	-0.01	101	34037	бТел
14:56:50	3.38	0.01	29	9802	бРел
14:56:41	3.37	-0.01	1044	351828	бТел
14:56:31	3.38	0.01	165	55770	бРел
14:56:26	3.37	-0.01	20	6740	бТел
14:56:20	3.38	0.01	145	49010	бРел
14:56:16	3.37	--	230	77510	бТел
14:56:05	3.37	--	97	32689	бТел
14:56:01	3.37	--	1	337	бТел
14:55:56	3.37	-0.01	1710	576270	бТел
14:55:50	3.38	0.01	338	114244	бРел
14:55:41	3.37	--	271	91327	бТел
14:55:35	3.37	--	3	1011	бТел
14:55:31	3.37	--	6	2022	бТел
14:55:26	3.37	--	158	53246	бТел
14:55:20	3.37	-0.01	296	99752	бТел
14:55:16	3.38	--	232	78416	бРел
14:55:11	3.38	--	104	35152	бРел
14:55:05	3.38	--	176	59488	бРел
14:55:01	3.38	--	14	4732	бРел
14:54:56	3.38	--	130	43940	бРел
14:54:50	3.38	0.01	277	93626	бРел
14:54:46	3.37	-0.01	30	10110	бТел
14:54:41	3.38	0.01	177	59826	бРел
14:54:35	3.37	-0.01	198	66726	бТел
14:54:31	3.38	--	1000	338000	бРел
14:54:26	3.38	--	225	76050	бРел
14:54:20	3.38	--	37	12506	бРел
14:54:16	3.38	--	362	122356	бРел
14:54:11	3.38	0.01	46	15548	бРел
14:54:05	3.37	-0.01	432	145584	бТел
14:54:01	3.38	--	267	90246	бРел
14:53:56	3.38	--	397	134186	бРел
14:53:50	3.38	--	159	53742	бРел
14:53:46	3.38	--	10	3380	бРел
14:53:41	3.38	--	30	10140	бРел
14:53:35	3.38	--	207	69966	бРел
14:53:31	3.38	--	68	22984	бРел
14:53:26	3.38	--	167	56446	бРел
14:53:05	3.38	0.01	124	41912	бРел
14:53:01	3.37	--	430	144910	бТел
14:52:56	3.37	-0.01	12	4044	бТел
14:52:50	3.38	--	2035	687830	бРел
14:52:46	3.38	--	200	67600	бРел
14:52:41	3.38	--	322	108836	бРел
