Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	3.59	--	0	0	бТел
15:00:00	3.59	--	0	0	бТел
14:59:59	3.59	--	453	162627	бТел
14:59:57	3.59	--	256	91904	бТел
14:59:52	3.59	--	50	17950	бТел
14:59:46	3.59	--	1127	404593	бТел
14:59:42	3.59	--	397	142523	бТел
14:59:37	3.59	--	494	177346	бТел
14:59:32	3.59	--	964	346076	бТел
14:59:27	3.59	-0.01	1172	420748	бТел
14:59:22	3.6	0.01	70	25200	бРел
14:59:16	3.59	-0.01	1110	398490	бТел
14:59:12	3.6	0.01	621	223560	бРел
14:59:07	3.59	--	11	4150	бТел
14:59:01	3.59	--	138	49542	бТел
14:58:57	3.59	--	20	7180	бТел
14:58:52	3.59	--	166	59594	бТел
14:58:46	3.59	--	247	88673	бТел
14:58:42	3.59	--	25	8975	бТел
14:58:37	3.59	--	252	90468	бТел
14:58:31	3.59	--	1007	361749	бРел
14:58:27	3.59	--	1756	630404	бРел
14:58:22	3.59	-0.01	1273	457007	бТел
14:58:16	3.6	0.01	64	23040	бРел
14:58:12	3.59	-0.01	317	113803	бТел
14:58:07	3.6	0.01	1705	613800	бРел
14:58:01	3.59	--	201	72159	бТел
14:57:57	3.59	--	5975	2145132	бРел
14:57:52	3.59	--	253	90827	бРел
14:57:46	3.59	0.01	2012	722308	бРел
14:57:42	3.58	-0.01	2237	800846	бТел
14:57:36	3.59	--	49	17591	бРел
14:57:31	3.59	0.01	3693	1325787	бРел
14:57:27	3.58	--	388	138904	бТел
14:57:21	3.58	--	128	45824	бТел
14:57:16	3.58	-0.01	1216	435328	бТел
14:57:12	3.59	--	1831	657329	бРел
14:57:06	3.59	0.01	315	113085	бРел
14:57:01	3.58	-0.01	360	128880	бТел
14:56:57	3.59	--	93	33387	бРел
14:56:51	3.59	0.01	34	12206	бРел
14:56:46	3.58	-0.01	908	325064	бТел
14:56:42	3.59	--	1167	418953	бРел
14:56:36	3.59	0.01	35	12565	бРел
14:56:31	3.58	--	160	57280	бТел
14:56:27	3.58	-0.01	14	5012	бТел
14:56:21	3.59	0.01	50	17950	бРел
14:56:16	3.58	--	77	27566	бТел
14:56:11	3.58	--	116	41528	бТел
14:56:06	3.58	--	154	55132	бТел
14:56:01	3.58	-0.01	131	46898	бТел
14:55:57	3.59	--	403	144831	бРел
14:55:51	3.59	0.01	10	3590	бРел
14:55:46	3.58	-0.01	153	54774	бТел
14:55:42	3.59	0.01	362	129958	бРел
14:55:36	3.58	-0.01	185	66230	бТел
14:55:31	3.59	0.01	272	97648	бРел
14:55:26	3.58	--	2046	732468	бТел
14:55:21	3.58	--	59	21122	бТел
14:55:16	3.58	-0.01	1097	392726	бТел
14:55:11	3.59	--	400	143600	бРел
14:55:06	3.59	0.01	251	90109	бРел
14:55:01	3.58	-0.01	515	184370	бТел
14:54:56	3.59	--	121	43439	бРел
14:54:51	3.59	--	100	35900	бРел
14:54:46	3.59	--	12418	4458062	бРел
14:54:41	3.59	0.01	1441	517319	бРел
14:54:36	3.58	--	1	358	бТел
14:54:31	3.58	-0.01	37	13246	бТел
14:54:26	3.59	--	397	142724	бРел
14:54:21	3.59	0.01	223	80057	бРел
14:54:16	3.58	--	982	351656	бТел
14:54:11	3.58	-0.01	52	18616	бТел
14:54:06	3.59	0.01	304	109136	бРел
14:54:01	3.58	--	10	3580	бТел
14:53:56	3.58	-0.01	351	125658	бТел
14:53:51	3.59	0.01	2	718	бРел
