Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	3.38	--	0	0	бРел
15:00:00	3.38	--	0	0	бРел
14:59:59	3.38	--	141	47658	бРел
14:59:57	3.38	--	149	50362	бРел
14:59:51	3.38	0.01	629	212602	бРел
14:59:46	3.37	-0.01	74	24938	бТел
14:59:42	3.38	--	241	81458	бРел
14:59:36	3.38	--	383	129454	бРел
14:59:27	3.38	--	264	89232	бРел
14:59:21	3.38	--	489	165282	бРел
14:59:16	3.38	--	1960	662480	бРел
14:59:11	3.38	--	790	267020	бРел
14:59:06	3.38	--	130	43940	бРел
14:58:56	3.38	--	356	120328	бРел
14:58:51	3.38	--	65	21970	бРел
14:58:46	3.38	0.01	300	101400	бРел
14:58:41	3.37	--	2118	713766	бТел
14:58:36	3.37	-0.01	1048	353176	бТел
14:58:31	3.38	0.01	100	33800	бРел
14:58:26	3.37	-0.01	121	40777	бТел
14:58:21	3.38	--	256	86528	бРел
14:58:16	3.38	--	560	189280	бРел
14:58:11	3.38	--	15	5070	бРел
14:58:06	3.38	--	26	8788	бРел
14:58:01	3.38	0.01	7	2366	бРел
14:57:56	3.37	--	240	81011	бТел
14:57:51	3.37	-0.01	70	23590	бТел
14:57:46	3.38	--	100	33800	бРел
14:57:41	3.38	--	1104	373152	бРел
14:57:36	3.38	--	55	18590	бРел
14:57:26	3.38	--	260	87880	бРел
14:57:21	3.38	--	155	52390	бРел
14:57:16	3.38	0.01	70	23660	бРел
14:57:11	3.37	-0.01	277	93349	бТел
14:57:06	3.38	--	59	19942	бРел
14:56:56	3.38	0.01	289	97682	бРел
14:56:51	3.37	-0.01	1066	359242	бТел
14:56:41	3.38	--	131	44278	бРел
14:56:31	3.38	0.01	135	45630	бРел
14:56:26	3.37	--	94	31678	бТел
14:56:21	3.37	--	77	25949	бТел
14:56:16	3.37	-0.01	1	337	бТел
14:56:11	3.38	--	701	236938	бРел
14:56:06	3.38	--	605	204490	бРел
14:56:01	3.38	--	30	10140	бРел
14:55:56	3.38	--	1245	420810	бРел
14:55:51	3.38	--	2815	951470	бРел
14:55:46	3.38	--	3050	1030900	бРел
14:55:41	3.38	--	23	7774	бРел
14:55:36	3.38	--	162	54756	бРел
14:55:30	3.38	--	55	18590	бРел
14:55:26	3.38	--	3	1014	бРел
14:55:21	3.38	--	130	43940	бРел
14:55:15	3.38	--	1000	338000	бРел
14:55:11	3.38	0.01	250	84500	бРел
14:55:06	3.37	-0.01	886	298582	бТел
14:55:00	3.38	0.01	250	84500	бРел
14:54:56	3.37	--	908	305996	бТел
14:54:45	3.37	--	600	202200	бТел
14:54:41	3.37	-0.01	60	20220	бТел
14:54:36	3.38	--	5016	1695408	бРел
14:54:26	3.38	0.01	518	175084	бРел
14:54:21	3.37	-0.01	54	18198	бТел
14:54:15	3.38	--	9	3042	бРел
14:54:11	3.38	--	8	2704	бРел
14:54:06	3.38	0.01	146	49348	бРел
14:53:56	3.37	-0.01	1245	419565	бТел
14:53:51	3.38	0.01	498	168324	бРел
14:53:45	3.37	--	2	674	бТел
14:53:41	3.37	--	49	16513	бТел
14:53:36	3.37	-0.01	338	113906	бТел
14:53:30	3.38	--	176	59488	бРел
14:53:26	3.38	0.01	149	50362	бРел
14:53:21	3.37	-0.01	714	240618	бТел
14:53:15	3.38	0.01	522	176436	бРел
14:53:11	3.37	-0.01	130	43810	бТел
14:53:06	3.38	0.01	1152	389376	бРел
14:53:00	3.37	-0.01	225	75825	бТел
14:52:56	3.38	--	338	114244	бРел
14:52:51	3.38	--	119	40222	бРел
14:52:45	3.38	--	125	42250	бРел
14:52:41	3.38	--	166	56108	бРел
14:52:36	3.38	--	10	3380	бРел
