Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	6.76	--	0	0	бТел
15:00:00	6.76	--	33	22308	бРел
14:59:59	6.76	--	499	337324	бРел
14:59:54	6.76	0.01	910	615160	бРел
14:59:49	6.75	-0.01	1063	717525	бТел
14:59:45	6.76	0.01	497	335972	бРел
14:59:39	6.75	-0.01	1156	780300	бТел
14:59:33	6.76	0.01	5774	3903224	бРел
14:59:30	6.75	-0.01	716	483300	бТел
14:59:25	6.76	--	382	258232	бРел
14:59:18	6.76	--	1077	728052	бРел
14:59:15	6.76	0.01	341	230516	бРел
14:59:10	6.75	--	2284	1541700	бТел
14:59:04	6.75	--	3804	2567700	бТел
14:58:59	6.75	-0.01	253	170775	бТел
14:58:55	6.76	--	1668	1127568	бРел
14:58:48	6.76	--	959	648284	бРел
14:58:44	6.76	--	2720	1838720	бРел
14:58:39	6.76	--	729	492804	бРел
14:58:34	6.76	--	2960	2000960	бРел
14:58:30	6.76	0.01	25	16900	бРел
14:58:25	6.75	--	1660	1120500	бТел
14:58:19	6.75	-0.01	813	548775	бТел
14:58:14	6.76	0.01	17	11492	бРел
14:58:09	6.75	--	238	160650	бТел
14:58:04	6.75	--	619	417825	бТел
14:57:59	6.75	-0.01	12	8100	бТел
14:57:55	6.76	0.01	259	175084	бРел
14:57:48	6.75	-0.01	726	490050	бТел
14:57:45	6.76	0.01	183	123708	бРел
14:57:39	6.75	-0.01	1417	956475	бТел
14:57:34	6.76	0.01	505	341380	бРел
14:57:29	6.75	--	212	143100	бТел
14:57:24	6.75	--	2109	1423575	бТел
14:57:18	6.75	--	325	219375	бТел
14:57:14	6.75	--	246	166050	бТел
14:57:09	6.75	--	332	224100	бТел
14:57:03	6.75	--	92	62100	бТел
14:56:59	6.75	--	563	380025	бРел
14:56:54	6.75	--	846	571050	бРел
14:56:48	6.75	-0.01	2217	1496475	бТел
14:56:44	6.76	--	213	143988	бРел
14:56:39	6.76	0.01	664	448864	бРел
14:56:34	6.75	-0.01	578	390150	бТел
14:56:29	6.76	0.01	258	174408	бРел
14:56:25	6.75	--	904	610200	бТел
14:56:18	6.75	--	432	291600	бТел
14:56:14	6.75	--	224	151200	бТел
14:56:10	6.75	--	894	603450	бТел
14:56:03	6.75	--	334	225450	бТел
14:55:59	6.75	-0.01	417	281475	жпптел
14:55:55	6.76	0.02	157	106132	бРел
14:55:49	6.74	-0.01	1510	1017740	бТел
14:55:43	6.75	--	233	157275	бРел
14:55:40	6.75	--	170	114750	бРел
14:55:33	6.75	--	2949	1990575	бТел
14:55:29	6.75	--	267	180225	бТел
14:55:24	6.75	-0.01	4067	2745225	бТел
14:55:19	6.76	0.01	600	405600	бРел
14:55:12	6.75	--	159	107325	бТел
14:55:10	6.75	--	1766	1192050	бТел
14:55:03	6.75	--	1132	764100	бТел
14:54:58	6.75	-0.01	104	70200	бТел
14:54:54	6.76	--	566	382616	бРел
14:54:48	6.76	0.01	126	85176	бРел
14:54:43	6.75	-0.01	745	502875	бТел
14:54:39	6.76	0.01	189	127764	бРел
14:54:33	6.75	-0.01	302	203850	бТел
14:54:27	6.76	0.01	158	106808	бРел
14:54:24	6.75	-0.01	898	606150	бТел
14:54:19	6.76	--	288	194688	бРел
14:54:12	6.76	0.01	15	10140	бРел
14:54:10	6.75	--	380	256500	бТел
14:54:03	6.75	--	821	554175	бТел
14:53:57	6.75	--	193	130275	бТел
14:53:54	6.75	--	34	22950	бТел
14:53:49	6.75	-0.01	217	146475	бТел
14:53:43	6.76	0.02	112	75712	бРел
14:53:39	6.74	--	623	419902	бТел
14:53:33	6.74	-0.01	1204	811496	бТел
14:53:28	6.75	--	1980	1336500	бРел
14:53:23	6.75	0.01	238	160650	бРел
14:53:18	6.74	-0.01	336	226464	бТел
14:53:12	6.75	0.01	614	414450	бРел
14:53:08	6.74	-0.01	34	22916	бТел
14:53:03	6.75	0.01	1760	1188000	бРел
14:52:57	6.74	--	669	450906	бТел
14:52:53	6.74	-0.01	397	267578	бТел
14:52:48	6.75	0.01	91	61425	бРел
14:52:41	6.74	--	41	27634	бТел
14:52:39	6.74	--	578	389572	бТел
14:52:34	6.74	--	506	341044	бТел
14:52:27	6.74	-0.01	302	203548	бТел
14:52:24	6.75	0.01	128	86400	бРел
14:52:18	6.74	--	236	159064	бТел
14:52:12	6.74	-0.01	285	192090	бТел
14:52:08	6.75	0.01	53	35775	бРел
14:52:04	6.74	--	603	406422	бТел
14:51:57	6.74	--	108	72792	бТел
14:51:53	6.74	-0.01	92	62008	бТел
14:51:48	6.75	--	812	548100	бРел
14:51:42	6.75	0.01	1073	724275	бРел
14:51:37	6.74	-0.01	111	74814	бТел
14:51:33	6.75	0.01	92	62100	бРел
14:51:28	6.74	--	125	84250	бТел
14:51:24	6.74	--	35	23590	бТел
14:51:19	6.74	--	325	219050	бТел
14:51:12	6.74	--	778	524372	бТел
14:51:06	6.74	--	44	29656	бТел
14:51:03	6.74	--	16	10784	бТел
14:50:57	6.74	-0.01	2378	1602772	бТел
14:50:54	6.75	0.01	94	63450	бРел
14:50:48	6.74	--	237	159738	бТел
14:50:43	6.74	--	274	184676	бТел
14:50:39	6.74	--	69	46506	бТел
14:50:34	6.74	-0.01	75	50550	бТел
14:50:27	6.75	0.01	516	348300	бРел
14:50:24	6.74	--	763	514262	бТел
14:50:19	6.74	--	195	131430	бТел
14:50:12	6.74	--	1145	771730	бРел
14:50:09	6.74	0.01	81	54594	бРел
14:50:03	6.73	-0.01	915	615795	бТел
14:49:57	6.74	0.01	997	671978	бРел
14:49:53	6.73	--	15	10095	бТел
14:49:48	6.73	--	297	199881	бТел
14:49:41	6.73	--	23	15479	бТел
14:49:38	6.73	--	65	43745	бТел
14:49:33	6.73	--	538	362074	бТел
14:49:27	6.73	--	1668	1122651	бРел
