Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	9.17	-0.01	0	0	бТел
14:59:59	9.18	--	5	4590	бРел
14:59:56	9.18	--	11	10098	бРел
14:59:50	9.18	--	6	5508	бРел
14:59:45	9.18	0.01	959	880362	бРел
14:59:41	9.17	--	35	32095	бТел
14:59:30	9.17	--	515	472255	бТел
14:59:26	9.17	--	240	220080	бТел
14:59:20	9.17	-0.01	8	7336	бТел
14:59:15	9.18	--	227	208386	бРел
14:59:11	9.18	--	1682	1544076	бРел
14:59:05	9.18	--	18	16524	бРел
14:59:01	9.18	--	48	44064	бРел
14:58:56	9.18	--	123	112914	бРел
14:58:45	9.18	0.01	10	9180	бРел
14:58:41	9.17	-0.01	18	16506	бТел
14:58:35	9.18	--	95	87210	бРел
14:58:30	9.18	--	54	49572	бРел
14:58:26	9.18	--	398	365364	бРел
14:58:15	9.18	0.01	10	9180	бРел
14:58:11	9.17	-0.01	3	2751	бТел
14:57:50	9.18	--	11	10098	бРел
14:57:45	9.18	0.01	11	10098	бРел
14:57:25	9.17	-0.01	17	15589	бТел
14:57:20	9.18	--	1	918	бРел
14:57:15	9.18	0.01	22	20196	бРел
14:57:10	9.17	-0.01	64	58688	бТел
14:57:00	9.18	--	162	149432	бРел
14:56:40	9.18	0.01	50	45900	бРел
14:56:35	9.17	-0.01	6	5502	бТел
14:56:30	9.18	0.01	67	61506	бРел
14:56:25	9.17	--	2000	1834000	бТел
14:56:20	9.17	--	11	10270	бТел
14:56:09	9.17	--	33	30261	бТел
14:56:05	9.17	--	125	114625	бТел
14:56:00	9.17	--	173	158842	бТел
14:55:54	9.17	-0.01	6	5502	бТел
14:55:50	9.18	0.01	100	91800	бРел
14:55:40	9.17	-0.01	31	28427	бТел
14:55:30	9.18	--	11	10098	бРел
14:55:25	9.18	--	18	16524	бРел
14:55:20	9.18	0.01	14	12852	бРел
14:55:15	9.17	--	1000	917000	бТел
14:55:05	9.17	--	2000	1834000	бТел
14:55:00	9.17	0.01	973	892314	бРел
14:54:50	9.16	--	27	24732	бТел
14:54:45	9.16	--	37	33892	бТел
14:54:35	9.16	-0.01	10	9160	бТел
14:54:30	9.17	--	1	917	бРел
14:54:25	9.17	--	407	374099	бТел
14:54:20	9.17	--	9	8253	бТел
14:54:05	9.17	--	374	342994	бТел
14:53:59	9.17	--	4	3668	бТел
