Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	3.27	--	0	0	бТел
15:00:00	3.27	-0.01	2	654	бТел
14:59:59	3.28	0.01	200	65600	бРел
14:59:54	3.27	-0.01	675	220725	бТел
14:59:48	3.28	--	10	3280	бРел
14:59:44	3.28	0.01	463	151864	бРел
14:59:39	3.27	--	31	10137	бТел
14:59:29	3.27	--	203	66381	бТел
14:59:24	3.27	--	2	654	бТел
14:59:18	3.27	-0.01	204	66708	бТел
14:59:14	3.28	--	35	11480	бРел
14:59:09	3.28	--	3	983	бРел
14:59:03	3.28	0.01	1452	476256	бРел
14:58:59	3.27	-0.01	2123	694221	бТел
14:58:54	3.28	0.01	2	656	бРел
14:58:48	3.27	--	57	18639	бТел
14:58:44	3.27	-0.01	78	25506	бТел
14:58:39	3.28	0.01	1	328	бРел
14:58:33	3.27	--	40	13080	бТел
14:58:29	3.27	--	96	31392	бТел
14:58:24	3.27	--	2826	924102	бТел
14:58:18	3.27	--	12	3924	бТел
14:58:14	3.27	-0.01	115	37605	бТел
14:58:03	3.28	--	32	10496	бРел
14:57:59	3.28	--	368	120704	бРел
14:57:54	3.28	0.01	68	22304	бРел
14:57:48	3.27	--	1	327	бТел
14:57:44	3.27	-0.01	142	46434	бТел
14:57:39	3.28	0.01	51	16728	бРел
14:57:33	3.27	--	50	16350	бТел
14:57:29	3.27	--	141	46107	бТел
14:57:24	3.27	--	105	34335	бТел
14:57:18	3.27	--	505	165135	бТел
14:57:14	3.27	--	2030	663810	бТел
14:57:09	3.27	--	2251	736077	бТел
14:57:03	3.27	--	507	165789	бТел
14:56:54	3.27	--	120	39240	бТел
14:56:48	3.27	--	581	189987	бТел
14:56:43	3.27	--	182	59514	бТел
14:56:38	3.27	-0.01	261	85347	бТел
14:56:33	3.28	0.01	88	28864	бРел
14:56:28	3.27	--	30	9810	бТел
14:56:23	3.27	--	65	21255	бТел
14:56:18	3.27	--	233	76191	бТел
14:56:13	3.27	--	225	73575	бТел
14:56:08	3.27	--	195	63765	бТел
14:56:03	3.27	--	192	62784	бТел
14:55:58	3.27	--	500	163500	бТел
14:55:53	3.27	--	7224	2362248	бТел
14:55:48	3.27	--	33	10791	бТел
14:55:43	3.27	-0.01	231	75537	бТел
14:55:38	3.28	--	78	25584	бРел
14:55:33	3.28	0.01	2728	894784	бРел
14:55:28	3.27	--	189	61803	бТел
14:55:23	3.27	-0.01	53	17331	бТел
14:55:18	3.28	0.01	410	134480	бРел
14:55:13	3.27	--	36	11772	бТел
14:55:08	3.27	-0.01	2625	858375	бТел
14:55:03	3.28	--	152	49856	бРел
14:54:58	3.28	0.01	63	20664	бРел
14:54:53	3.27	--	23	7521	бТел
14:54:48	3.27	--	1952	638304	бТел
14:54:43	3.27	--	101	33027	бТел
14:54:38	3.27	--	256	83712	бТел
14:54:28	3.27	--	51	16677	бТел
14:54:23	3.27	--	28	9156	бТел
14:54:18	3.27	--	85	27795	бТел
14:54:13	3.27	--	134	43818	бТел
14:54:08	3.27	--	726	237402	бТел
14:54:03	3.27	--	366	119682	бТел
14:53:58	3.27	--	19	6213	бТел
14:53:53	3.27	--	378	123606	бТел
14:53:48	3.27	--	254	83058	бТел
14:53:43	3.27	--	30	9810	бТел
14:53:38	3.27	-0.01	3	981	бТел
14:53:33	3.28	0.01	37	12136	бРел
14:53:28	3.27	--	91	29757	бТел
14:53:23	3.27	--	292	95484	бТел
14:53:18	3.27	--	334	109218	бТел
14:53:12	3.27	-0.01	600	196200	бТел
14:53:08	3.28	0.01	50	16613	бРел
14:53:03	3.27	--	12	3924	бТел
14:52:57	3.27	-0.01	869	284163	бТел
14:52:53	3.28	0.01	51	16728	бРел
14:52:48	3.27	--	23	7521	бТел
14:52:42	3.27	--	48	15696	бТел
14:52:38	3.27	--	604	197508	бТел
14:52:33	3.27	-0.01	10	3270	бТел
14:52:27	3.28	0.01	1	328	бРел
14:52:23	3.27	--	920	300840	бТел
14:52:18	3.27	--	200	65400	бТел
14:52:08	3.27	--	219	71613	бТел
14:52:03	3.27	--	15	4905	бТел
14:51:57	3.27	--	286	93522	бТел
14:51:53	3.27	--	11	3639	бТел
14:51:48	3.27	--	284	92868	бТел
14:51:42	3.27	--	206	67362	бТел
14:51:38	3.27	--	1003	327981	бТел
14:51:33	3.27	-0.01	59	19293	бТел
14:51:23	3.28	--	516	169480	бРел
14:51:12	3.28	--	8	2624	бРел
14:51:08	3.28	--	12	3935	бРел
14:51:03	3.28	0.01	35	11480	бРел
14:50:57	3.27	--	204	66708	бТел
14:50:53	3.27	--	2101	687134	бТел
14:50:48	3.27	--	18	5886	бТел
14:50:42	3.27	--	80	26160	бТел
14:50:38	3.27	-0.01	133	43491	бТел
14:50:33	3.28	0.01	86	28208	бРел
14:50:27	3.27	--	47	15369	бТел
14:50:23	3.27	-0.01	755	246885	бТел
14:50:18	3.28	0.01	310	101680	бРел
14:50:12	3.27	--	241	78807	бТел
14:50:08	3.27	-0.01	145	47415	бТел
14:50:03	3.28	0.01	81	26568	бРел
14:49:57	3.27	--	18	5886	бТел
14:49:53	3.27	-0.01	236	77279	бТел
14:49:48	3.28	0.01	1054	345712	бРел
14:49:42	3.27	-0.01	4	1308	бТел
14:49:37	3.28	--	34	11152	бРел
14:49:33	3.28	--	58	19024	бРел
14:49:23	3.28	0.01	138	45264	бРел
14:49:17	3.27	-0.01	68	22236	бТел
14:49:12	3.28	0.01	78	25584	бРел
14:49:08	3.27	-0.01	33	10791	бТел
14:49:03	3.28	0.01	76	24928	бРел
14:48:57	3.27	--	43	14067	бТел
14:48:52	3.27	--	0	101	бТел
14:48:48	3.27	--	728	238056	бТел
14:48:42	3.27	--	1	327	бТел
14:48:37	3.27	--	44	14388	бТел
14:48:32	3.27	-0.01	580	189660	бТел
14:48:27	3.28	--	35	11480	бРел
14:48:22	3.28	--	35	11480	бРел
14:48:17	3.28	0.01	163	53775	бРел
14:48:12	3.27	--	12	3924	бТел
14:48:07	3.27	-0.01	133	43491	бТел
14:48:02	3.28	--	154	50512	бРел
14:47:57	3.28	--	40	13120	бРел
14:47:52	3.28	0.01	76	25036	бРел
14:47:47	3.27	--	39	12753	бТел
14:47:42	3.27	-0.01	392	128184	бТел
14:47:37	3.28	0.01	34	11152	бРел
14:47:32	3.27	--	325	106327	бТел
14:47:27	3.27	-0.01	94	30738	бТел
