Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:03	11.37	--	7230	8220509	бРел
14:57:00	11.37	--	729	828873	бРел
14:56:57	11.37	--	76	86412	бРел
14:56:54	11.37	--	348	395676	бРел
14:56:51	11.37	--	5	5685	бРел
14:56:48	11.37	0.01	45	51165	бРел
14:56:45	11.36	--	906	1029216	бРел
14:56:42	11.36	--	179	203344	бРел
14:56:39	11.36	-0.01	395	448720	бТел
14:56:36	11.37	--	68	77316	бРел
14:56:33	11.37	--	76	86412	бРел
14:56:30	11.37	0.01	29	32973	бРел
14:56:27	11.36	-0.01	87	98832	бТел
14:56:24	11.37	0.01	101	114836	бРел
14:56:21	11.36	-0.01	52	59072	бТел
14:56:18	11.37	--	129	146673	бРел
14:56:15	11.37	--	24	27287	бРел
14:56:12	11.37	--	1606	1826021	бРел
14:56:09	11.37	--	235	267195	бРел
14:56:06	11.37	--	5	5685	бРел
14:56:03	11.37	0.01	34	38658	бРел
14:56:00	11.36	-0.01	12	13632	бТел
14:55:57	11.37	--	212	241043	бРел
14:55:54	11.37	--	577	656049	бРел
14:55:51	11.37	--	27	30698	бРел
14:55:48	11.37	--	107	121658	бРел
14:55:45	11.37	--	331	376347	бРел
14:55:42	11.37	--	35	39795	бРел
14:55:39	11.37	--	38	43206	бРел
14:55:36	11.37	0.01	57	64808	бРел
14:55:33	11.36	-0.01	39	44304	бТел
14:55:30	11.37	--	64	72768	бРел
14:55:27	11.37	--	89	101193	бРел
14:55:24	11.37	--	13	14780	бРел
14:55:21	11.37	--	185	210345	бРел
14:55:18	11.37	--	51	57986	бРел
14:55:15	11.37	--	247	280839	бРел
14:55:12	11.37	--	53	60260	бРел
14:55:09	11.37	--	101	114836	бРел
14:55:06	11.37	0.01	308	350196	бРел
14:55:03	11.36	-0.01	931	1057616	бТел
14:55:00	11.37	0.01	174	197838	бРел
14:54:57	11.36	--	35	39760	бТел
14:54:54	11.36	-0.01	263	298768	бТел
14:54:51	11.37	--	26	29561	бРел
14:54:48	11.37	--	55	62534	бРел
14:54:45	11.37	--	586	666282	бРел
14:54:42	11.37	0.01	709	806133	бРел
14:54:39	11.36	-0.01	16	18176	бТел
14:54:36	11.37	--	396	450251	бРел
14:54:33	11.37	--	500	568500	бРел
14:54:30	11.37	0.01	30	34110	бРел
14:54:27	11.36	-0.01	5	5680	бТел
14:54:24	11.37	0.01	68	77316	бРел
14:54:21	11.36	-0.01	183	207888	бТел
14:54:18	11.37	0.01	109	123932	бРел
14:54:15	11.36	--	553	628208	бТел
14:54:12	11.36	--	119	135184	бТел
14:54:09	11.36	-0.01	52	59072	бТел
14:54:06	11.37	0.01	421	478676	бРел
14:54:03	11.36	-0.01	30	34080	бТел
14:54:00	11.37	0.01	20	22740	бРел
14:53:57	11.36	--	42	47712	бТел
14:53:54	11.36	--	101	114736	бТел
14:53:51	11.36	-0.01	16	18176	бТел
14:53:48	11.37	0.01	252	286524	бРел
